PR,URL,Title,Content type,Is rendered page,HTTP status code,Crawl datetime,Depth,Loading time (ms),Size (bytes),No. of href inlinks,No. of internal outlinks
0,https://www.aiworkshop.ch/assets/index-n8H_2F19.css,,text/css,false,200,2025-09-12 10:01:28,1,342,0,0,0
0,https://www.aiworkshop.ch/assets/index-fTz6Gagj.js,,application/javascript,false,200,2025-09-12 10:01:26,1,344,0,0,0
5,https://aiworkshop.ch/assets/index-n8H_2F19.css,,text/css,false,200,2025-09-12 10:01:24,1,341,0,0,0
5,https://aiworkshop.ch/assets/index-fTz6Gagj.js,,application/javascript,false,200,2025-09-12 10:01:22,1,342,0,0,0
0,https://aiworkshop.ch/it/seo-landing/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 10:01:21,0,256,3808,0,7
0,https://aiworkshop.ch/de/seo-landing/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 10:01:17,0,267,3808,0,7
0,https://aiworkshop.ch/fr/seo-landing/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 10:01:15,0,258,3808,0,7
0,https://aiworkshop.ch/en/seo-landing/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 10:01:13,0,257,3808,0,7
0,https://aiworkshop.ch/it/agentic-ai/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 10:01:11,0,258,3808,0,7
0,https://aiworkshop.ch/de/agentic-ai/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 10:01:09,0,260,3808,0,7
0,https://aiworkshop.ch/fr/agentic-ai/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 10:01:07,0,258,3808,0,7
0,https://aiworkshop.ch/en/agentic-ai/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 10:01:05,0,257,3808,0,7
0,https://aiworkshop.ch/it/generative-ai/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 10:01:04,0,316,3808,0,7
0,https://aiworkshop.ch/de/generative-ai/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 10:01:02,0,324,3808,0,7
0,https://aiworkshop.ch/fr/generative-ai/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 10:00:59,0,260,3808,0,7
5,https://aiworkshop.ch/en/generative-ai/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 10:00:57,0,257,3808,101,6
